Kind,Name,SumCyclomatic,AvgEssential,MaxInheritanceTree,PercentLackOfCohesion,CountClassDerived,CountClassCoupled,CountDeclMethod,Essential,CountLineCode
Private Class,org.junit.jupiter.engine.descriptor.TestTemplateTestDescriptor.TestTemplateExecutor,8,1.0,2.0,0.0,0.0,13.0,8.0,,43.0
Public Class,org.junit.jupiter.engine.descriptor.subpackage.Class1WithTestCases,1,1.0,1.0,0.0,0.0,1.0,1.0,,5.0
Public Class,org.junit.jupiter.engine.descriptor.subpackage.Class2WithTestCases,1,1.0,1.0,0.0,0.0,1.0,1.0,,5.0
Public Class,org.junit.jupiter.engine.descriptor.subpackage.ClassWithStaticInnerTestCases,0,0.0,1.0,0.0,0.0,0.0,0.0,,14.0
Public Class,org.junit.jupiter.engine.descriptor.subpackage.ClassWithoutTestCases,0,0.0,1.0,0.0,0.0,0.0,0.0,,2.0
Public Class,org.junit.jupiter.engine.discovery.DiscoverySelectorResolver,2,1.0,1.0,0.0,0.0,17.0,2.0,,26.0
Private Class,org.junit.jupiter.engine.discovery.DiscoveryTests.InvalidTestCases.InvalidTestClassSubclassTestCase,0,0.0,2.0,0.0,0.0,0.0,0.0,,2.0
Private Class,org.junit.jupiter.engine.discovery.DiscoveryTests.InvalidTestCases.InvalidTestClassTestCase,1,1.0,1.0,0.0,1.0,3.0,1.0,,16.0
Public Class,org.junit.jupiter.engine.discovery.JupiterUniqueIdBuilder,13,1.0,1.0,0.0,0.0,17.0,10.0,,42.0
Public Class,org.junit.jupiter.engine.discovery.predicates.IsTestFactoryMethod,15,3.0,2.0,0.0,0.0,16.0,5.0,,62.0
Public Class,org.junit.jupiter.engine.discovery.predicates.IsTestMethod,1,1.0,2.0,0.0,0.0,3.0,1.0,,6.0
Public Class,org.junit.jupiter.engine.discovery.predicates.IsTestTemplateMethod,1,1.0,2.0,0.0,0.0,3.0,1.0,,6.0
Public Class,org.junit.jupiter.engine.discovery.predicates.TestClassPredicates,31,1.0,1.0,92.0,0.0,22.0,16.0,,111.0
Public Class,org.junit.jupiter.engine.discovery.predicates.TestClassPredicatesTests,0,0.0,1.0,0.0,0.0,4.0,0.0,,312.0
