Kind,Name,SumCyclomatic,AvgEssential,MaxInheritanceTree,PercentLackOfCohesion,CountClassDerived,CountClassCoupled,CountDeclMethod,Essential,CountLineCode
File,AssertArrayEquals.java,101,1,,,,,52,,348
File,AssertArrayEqualsAssertionsTests.java,343,1,,,,,122,,1797
File,AssertDoesNotThrow.java,14,1,,,,,11,,58
File,AssertDoesNotThrowAssertionsTests.java,60,1,,,,,25,,243
File,AssertDoesNotThrowExceptionDemo.java,3,1,,,,,2,,13
File,AssertEquals.java,52,1,,,,,32,,147
File,AssertEqualsAssertionsTests.java,149,1,,,,,59,,648
File,AssertFalse.java,10,1,,,,,8,,37
File,AssertFalseAssertionsTests.java,26,1,,,,,9,,83
File,AssertInstanceOf.java,8,1,,,,,5,,27
File,AssertInstanceOfAssertionsTests.java,18,1,,,,,12,,74
File,AssertIterableEquals.java,28,1,,,,,17,,143
File,AssertIterableEqualsAssertionsTests.java,73,1,,,,,31,,412
File,AssertLinesMatch.java,39,2,,,,,15,,170
File,AssertLinesMatchAssertionsTests.java,75,1,,,,,29,,280
File,AssertNotEquals.java,52,1,,,,,32,,146
File,AssertNotEqualsAssertionsTests.java,131,1,,,,,56,,650
File,AssertNotNull.java,7,1,,,,,5,,26
File,AssertNotNullAssertionsTests.java,9,1,,,,,4,,42
File,AssertNotSame.java,7,1,,,,,5,,26
File,AssertNotSameAssertionsTests.java,13,1,,,,,7,,61
File,AssertNull.java,7,1,,,,,5,,27
File,AssertNullAssertionsTests.java,26,1,,,,,12,,115
File,AssertSame.java,7,1,,,,,5,,27
File,AssertSameAssertionsTests.java,15,1,,,,,7,,90
File,AssertThrows.java,7,1,,,,,5,,47
File,AssertThrowsAssertionsTests.java,42,1,,,,,17,,215
File,AssertThrowsExactly.java,7,1,,,,,5,,47
File,AssertThrowsExactlyAssertionsTests.java,50,1,,,,,20,,252
File,AssertTimeout.java,12,1,,,,,8,,55
File,AssertTimeoutAssertionsTests.java,41,1,,,,,13,,120
File,AssertTimeoutPreemptively.java,22,1,,,,,12,,114
File,AssertTimeoutPreemptivelyAssertionsTests.java,63,1,,,,,20,,199
File,AssertTrue.java,10,1,,,,,8,,37
File,AssertTrueAssertionsTests.java,26,1,,,,,9,,83
File,AssertionBenchmarks.java,11,1,,,,,7,,34
File,AssertionFailureBuilder.java,31,1,,,,,17,,106
File,AssertionTestUtils.java,21,1,,,,,12,,71
File,AssertionUtils.java,24,1,,,,,17,,78
File,Assertions.java,292,1,,,,,293,,1040
File,Assertions.java,12,1,,,,,8,,58
File,AssertionsDemo.java,25,1,,,,,11,,104
File,Assumptions.java,26,1,,,,,19,,89
File,AssumptionsDemo.java,5,1,,,,,3,,26
File,AssumptionsTests.java,76,1,,,,,29,,186
File,AtypicalJvmMethodNameTests.java,5,1,,,,,1,,24
File,AutoClose.java,0,0,,,,,1,,15
File,AutoCloseDemo.java,1,1,,,,,1,,15
File,AutoCloseExtension.java,19,1,,,,,7,,77
File,AutoCloseTests.java,66,1,,,,,45,,540
File,BExecutionConditionClass.java,1,1,,,,,1,,10
File,BTestExecutionListenerClass.java,0,0,,,,,0,,4
File,BVanillaEmpty.java,0,0,,,,,0,,3
File,B_TestCase.java,3,1,,,,,2,,17
File,BannerOptionMixin.java,1,1,,,,,1,,11
File,BaseCommand.java,13,1,,,,,9,,81
File,BeforeAll.java,0,0,,,,,0,,14
File,BeforeAllAndAfterAllComposedAnnotationTests.java,5,1,,,,,4,,40
File,BeforeAllCallback.java,0,0,,,,,1,,8
File,BeforeAndAfterAllTests.java,41,1,,,,,39,,289
File,BeforeAndAfterEachTests.java,43,1,,,,,42,,384
File,BeforeAndAfterSuiteDemo.java,2,1,,,,,2,,15
File,BeforeAndAfterSuiteTests.java,18,1,,,,,11,,177
File,BeforeAndAfterTestExecutionCallbackTests.java,37,1,,,,,37,,344
File,BeforeEach.java,0,0,,,,,0,,14
File,BeforeEachAndAfterEachComposedAnnotationTests.java,5,1,,,,,4,,40
File,BeforeEachCallback.java,0,0,,,,,1,,8
File,BeforeEachMethodAdapter.java,0,0,,,,,1,,12
File,BeforeSuite.java,0,0,,,,,0,,14
File,BeforeTestExecutionCallback.java,0,0,,,,,1,,8
File,BlacklistedExceptions.java,2,1,,,,,2,,13
File,BooleanExecutionCondition.java,5,1,,,,,4,,34
File,BridgeMethodTests.java,18,1,,,,,6,,76
File,BrokenLifecycleMethodConfigDemo.java,5,1,,,,,5,,31
File,CachingJupiterConfiguration.java,31,1,,,,,18,,115
File,CachingJupiterConfigurationTests.java,11,1,,,,,10,,99
File,Calculator.java,4,1,,,,,4,,15
File,Calculator.java,1,1,,,,,1,,6
File,Calculator.java,1,1,,,,,1,,6
File,CalculatorTests.java,3,1,,,,,2,,26
