Kind,Name,SumCyclomatic,AvgEssential,MaxInheritanceTree,PercentLackOfCohesion,CountClassDerived,CountClassCoupled,CountDeclMethod,Essential,CountLineCode
Private Method,org.junit.jupiter.api.AssertNullAssertionsTests.assertNullWithNonNullObjectWithNullReferenceReturnedFromToString,4,,,,,,,1.0,19.0
Private Method,org.junit.jupiter.api.AssertNullAssertionsTests.assertNullWithNonNullObjectWithNullStringReturnedFromToString,4,,,,,,,1.0,18.0
Private Method,org.junit.jupiter.api.AssertTimeoutAssertionsTests.nap,2,,,,,,,1.0,6.0
Public Method,org.junit.jupiter.api.AssertTimeoutPreemptively.TimeoutThreadFactory.newThread,1,,,,,,,1.0,3.0
Private Method,org.junit.jupiter.api.AssertTimeoutPreemptivelyAssertionsTests.waitForInterrupt,2,,,,,,,1.0,8.0
Public Method,org.junit.jupiter.api.AssertionFailureBuilder.actual,1,,,,,,,1.0,5.0
Public Method,org.junit.jupiter.api.AssertionFailureBuilder.build,5,,,,,,,1.0,13.0
Public Method,org.junit.jupiter.api.AssertionFailureBuilder.buildAndThrow,1,,,,,,,1.0,3.0
Public Method,org.junit.jupiter.api.AssertionFailureBuilder.cause,1,,,,,,,1.0,4.0
Public Method,org.junit.jupiter.api.AssertionFailureBuilder.expected,1,,,,,,,1.0,5.0
Public Method,org.junit.jupiter.api.AssertionFailureBuilder.includeValuesInMessage,1,,,,,,,1.0,4.0
Public Method,org.junit.jupiter.api.AssertionFailureBuilder.message,1,,,,,,,1.0,4.0
Public Method,org.junit.jupiter.api.AssertionFailureBuilder.reason,1,,,,,,,1.0,4.0
Public Method,org.junit.jupiter.api.ClassOrderer.ClassName.orderClasses,1,,,,,,,1.0,4.0
Public Method,org.junit.jupiter.api.ClassOrderer.DisplayName.orderClasses,1,,,,,,,1.0,4.0
Public Method,org.junit.jupiter.api.ClassOrderer.OrderAnnotation.orderClasses,1,,,,,,,1.0,4.0
Public Method,org.junit.jupiter.api.ClassOrderer.Random.orderClasses,1,,,,,,,1.0,5.0
Public Method,org.junit.jupiter.api.DisplayNameGenerationTests.NoNameGenerator.generateDisplayNameForClass,1,,,,,,,1.0,4.0
Public Method,org.junit.jupiter.api.DisplayNameGenerationTests.NoNameGenerator.generateDisplayNameForMethod,1,,,,,,,1.0,5.0
Public Method,org.junit.jupiter.api.DisplayNameGenerationTests.NoNameGenerator.generateDisplayNameForNestedClass,1,,,,,,,1.0,4.0
Private Method,org.junit.jupiter.api.DisplayNameGenerationTests.check,1,,,,,,,1.0,5.0
Private Method,org.junit.jupiter.api.DisplayNameGenerationTests.describe,1,,,,,,,1.0,3.0
Public Method,org.junit.jupiter.api.DisplayNameGenerator.IndicativeSentences.generateDisplayNameForClass,1,,,,,,,1.0,4.0
Public Method,org.junit.jupiter.api.DisplayNameGenerator.IndicativeSentences.generateDisplayNameForMethod,1,,,,,,,1.0,8.0
Public Method,org.junit.jupiter.api.DisplayNameGenerator.IndicativeSentences.generateDisplayNameForNestedClass,1,,,,,,,1.0,4.0
Private Method,org.junit.jupiter.api.DisplayNameGenerator.IndicativeSentences.getSentenceBeginning,8,,,,,,,4.0,34.0
Public Method,org.junit.jupiter.api.DisplayNameGenerator.ReplaceUnderscores.generateDisplayNameForClass,1,,,,,,,1.0,4.0
Public Method,org.junit.jupiter.api.DisplayNameGenerator.ReplaceUnderscores.generateDisplayNameForMethod,1,,,,,,,1.0,6.0
Public Method,org.junit.jupiter.api.DisplayNameGenerator.ReplaceUnderscores.generateDisplayNameForNestedClass,1,,,,,,,1.0,4.0
Public Method,org.junit.jupiter.api.DisplayNameGenerator.Simple.generateDisplayNameForMethod,2,,,,,,,1.0,9.0
Public Method,org.junit.jupiter.api.DisplayNameGenerator.Standard.generateDisplayNameForClass,1,,,,,,,1.0,6.0
Public Method,org.junit.jupiter.api.DisplayNameGenerator.Standard.generateDisplayNameForMethod,1,,,,,,,1.0,5.0
Public Method,org.junit.jupiter.api.DisplayNameGenerator.Standard.generateDisplayNameForNestedClass,1,,,,,,,1.0,4.0
Public Method,org.junit.jupiter.api.DynamicContainer.getChildren,1,,,,,,,1.0,3.0
Public Method,org.junit.jupiter.api.DynamicNode.getDisplayName,1,,,,,,,1.0,3.0
Public Method,org.junit.jupiter.api.DynamicNode.getTestSourceUri,1,,,,,,,1.0,3.0
Public Method,org.junit.jupiter.api.DynamicNode.toString,1,,,,,,,1.0,7.0
Public Method,org.junit.jupiter.api.DynamicTest.getExecutable,1,,,,,,,1.0,3.0
Public Method,org.junit.jupiter.api.DynamicTestTests.DummyNamedExecutableForTests.execute,1,,,,,,,1.0,4.0
Public Method,org.junit.jupiter.api.DynamicTestTests.DummyNamedExecutableForTests.getName,1,,,,,,,1.0,4.0
Private Method,org.junit.jupiter.api.DynamicTestTests.assert1Equals48Directly,1,,,,,,,1.0,3.0
Private Method,org.junit.jupiter.api.DynamicTestTests.assert1Equals49ReflectivelyAndUnwrapInvocationTargetException,1,,,,,,,1.0,4.0
Private Method,org.junit.jupiter.api.DynamicTestTests.assert1Equals50Reflectively,1,,,,,,,1.0,4.0
Private Method,org.junit.jupiter.api.DynamicTestTests.assertStream,2,,,,,,,1.0,12.0
Private Method,org.junit.jupiter.api.DynamicTestTests.throwingConsumer,2,,,,,,,1.0,6.0
Public Method,org.junit.jupiter.api.MethodOrderer.DisplayName.orderMethods,1,,,,,,,1.0,4.0
Public Method,org.junit.jupiter.api.MethodOrderer.MethodName.orderMethods,1,,,,,,,1.0,4.0
Public Method,org.junit.jupiter.api.MethodOrderer.OrderAnnotation.orderMethods,1,,,,,,,1.0,4.0
Public Method,org.junit.jupiter.api.MethodOrderer.Random.orderMethods,1,,,,,,,1.0,5.0
Public Method,org.junit.jupiter.api.Named.of.(Anon_1).getName,1,,,,,,,1.0,4.0
Public Method,org.junit.jupiter.api.Named.of.(Anon_1).getPayload,1,,,,,,,1.0,4.0
Public Method,org.junit.jupiter.api.Named.of.(Anon_1).toString,1,,,,,,,1.0,4.0
Private Method,org.junit.jupiter.api.RandomlyOrderedTests.executeTests,1,,,,,,,1.0,10.0
Protected Method,org.junit.jupiter.api.condition.AbstractExecutionConditionTests.assertCustomDisabledReasonIs,3,,,,,,,1.0,6.0
Protected Method,org.junit.jupiter.api.condition.AbstractExecutionConditionTests.assertDisabled,1,,,,,,,1.0,3.0
Protected Method,org.junit.jupiter.api.condition.AbstractExecutionConditionTests.assertEnabled,1,,,,,,,1.0,3.0
Protected Method,org.junit.jupiter.api.condition.AbstractExecutionConditionTests.assertReasonContains,2,,,,,,,1.0,3.0
Protected Method,org.junit.jupiter.api.condition.AbstractExecutionConditionTests.evaluateCondition,1,,,,,,,1.0,3.0
Private Method,org.junit.jupiter.api.condition.AbstractExecutionConditionTests.method,1,,,,,,,1.0,3.0
Private Method,org.junit.jupiter.api.condition.AbstractExecutionConditionTests.method,1,,,,,,,1.0,3.0
Private Method,org.junit.jupiter.api.condition.AbstractOsBasedExecutionCondition.enabledByDefault,1,,,,,,,1.0,4.0
Public Method,org.junit.jupiter.api.condition.AbstractOsBasedExecutionCondition.evaluateExecutionCondition,1,,,,,,,1.0,6.0
Private Method,org.junit.jupiter.api.condition.AbstractRepeatableAnnotationCondition.logResult,2,,,,,,,1.0,3.0
Private Method,org.junit.jupiter.api.condition.BooleanExecutionCondition.enabledByDefault,1,,,,,,,1.0,4.0
Public Method,org.junit.jupiter.api.condition.BooleanExecutionCondition.evaluateExecutionCondition,3,,,,,,,1.0,7.0
Private Method,org.junit.jupiter.api.condition.DisabledForJreRangeConditionTests.assertDisabledOnCurrentJreIf,2,,,,,,,1.0,10.0
Protected Method,org.junit.jupiter.api.condition.DisabledForJreRangeConditionTests.getExecutionCondition,1,,,,,,,1.0,4.0
Protected Method,org.junit.jupiter.api.condition.DisabledForJreRangeConditionTests.getTestClass,1,,,,,,,1.0,4.0
Protected Method,org.junit.jupiter.api.condition.DisabledIfCondition.isEnabled,1,,,,,,,1.0,4.0
Private Method,org.junit.jupiter.api.condition.DisabledIfConditionClassLoaderTests.enabledMethod,1,,,,,,,1.0,3.0
Protected Method,org.junit.jupiter.api.condition.DisabledIfConditionTests.getExecutionCondition,1,,,,,,,1.0,4.0
Protected Method,org.junit.jupiter.api.condition.DisabledIfConditionTests.getTestClass,1,,,,,,,1.0,4.0
Protected Method,org.junit.jupiter.api.condition.DisabledIfEnvironmentVariableCondition.evaluate,5,,,,,,,3.0,17.0
Protected Method,org.junit.jupiter.api.condition.DisabledIfEnvironmentVariableCondition.getEnvironmentVariable,1,,,,,,,1.0,3.0
Protected Method,org.junit.jupiter.api.condition.DisabledIfEnvironmentVariableCondition.getNoDisabledConditionsEncounteredResult,1,,,,,,,1.0,4.0
Protected Method,org.junit.jupiter.api.condition.DisabledIfEnvironmentVariableConditionTests.(Anon_1).getEnvironmentVariable,2,,,,,,,1.0,4.0
Protected Method,org.junit.jupiter.api.condition.DisabledIfEnvironmentVariableConditionTests.disabledBecauseEnvironmentVariableForComposedAnnotationMatchesExactly.(Anon_2).getEnvironmentVariable,2,,,,,,,1.0,4.0
Protected Method,org.junit.jupiter.api.condition.DisabledIfEnvironmentVariableConditionTests.getExecutionCondition,1,,,,,,,1.0,4.0
Protected Method,org.junit.jupiter.api.condition.DisabledIfEnvironmentVariableConditionTests.getTestClass,1,,,,,,,1.0,4.0
Private Method,org.junit.jupiter.api.condition.DisabledIfIntegrationTests.methodThatReturnsFalse,1,,,,,,,1.0,4.0
Private Method,org.junit.jupiter.api.condition.DisabledIfIntegrationTests.methodThatReturnsTrue,1,,,,,,,1.0,4.0
Protected Method,org.junit.jupiter.api.condition.DisabledIfSystemPropertyCondition.evaluate,5,,,,,,,3.0,18.0
Protected Method,org.junit.jupiter.api.condition.DisabledIfSystemPropertyCondition.getNoDisabledConditionsEncounteredResult,1,,,,,,,1.0,4.0
Protected Method,org.junit.jupiter.api.condition.DisabledIfSystemPropertyConditionTests.getExecutionCondition,1,,,,,,,1.0,4.0
Protected Method,org.junit.jupiter.api.condition.DisabledIfSystemPropertyConditionTests.getTestClass,1,,,,,,,1.0,4.0
Private Method,org.junit.jupiter.api.condition.DisabledOnOsCondition.isEnabledBasedOnArchitecture,2,,,,,,,1.0,7.0
Private Method,org.junit.jupiter.api.condition.DisabledOnOsCondition.isEnabledBasedOnOs,2,,,,,,,1.0,7.0
Private Method,org.junit.jupiter.api.condition.DisabledOnOsConditionTests.assertDisabledOnCurrentArchitectureIf,2,,,,,,,1.0,10.0
Private Method,org.junit.jupiter.api.condition.DisabledOnOsConditionTests.assertDisabledOnCurrentOsAndArchitectureIf,2,,,,,,,1.0,10.0
Private Method,org.junit.jupiter.api.condition.DisabledOnOsConditionTests.assertDisabledOnCurrentOsIf,2,,,,,,,1.0,10.0
Protected Method,org.junit.jupiter.api.condition.DisabledOnOsConditionTests.getExecutionCondition,1,,,,,,,1.0,4.0
Protected Method,org.junit.jupiter.api.condition.DisabledOnOsConditionTests.getTestClass,1,,,,,,,1.0,4.0
Private Method,org.junit.jupiter.api.condition.EnabledForJreRangeConditionTests.assertEnabledOnCurrentJreIf,2,,,,,,,1.0,10.0
Protected Method,org.junit.jupiter.api.condition.EnabledForJreRangeConditionTests.getExecutionCondition,1,,,,,,,1.0,4.0
Protected Method,org.junit.jupiter.api.condition.EnabledForJreRangeConditionTests.getTestClass,1,,,,,,,1.0,4.0
Protected Method,org.junit.jupiter.api.condition.EnabledIfCondition.isEnabled,1,,,,,,,1.0,4.0
Private Method,org.junit.jupiter.api.condition.EnabledIfConditionClassLoaderTests.enabledMethod,1,,,,,,,1.0,3.0
Protected Method,org.junit.jupiter.api.condition.EnabledIfConditionTests.getExecutionCondition,1,,,,,,,1.0,4.0
Protected Method,org.junit.jupiter.api.condition.EnabledIfConditionTests.getTestClass,1,,,,,,,1.0,4.0
Protected Method,org.junit.jupiter.api.condition.EnabledIfEnvironmentVariableCondition.evaluate,5,,,,,,,3.0,17.0
Protected Method,org.junit.jupiter.api.condition.EnabledIfEnvironmentVariableCondition.getEnvironmentVariable,1,,,,,,,1.0,3.0
Protected Method,org.junit.jupiter.api.condition.EnabledIfEnvironmentVariableCondition.getNoDisabledConditionsEncounteredResult,1,,,,,,,1.0,4.0
Protected Method,org.junit.jupiter.api.condition.EnabledIfEnvironmentVariableConditionTests.(Anon_1).getEnvironmentVariable,2,,,,,,,1.0,4.0
Protected Method,org.junit.jupiter.api.condition.EnabledIfEnvironmentVariableConditionTests.disabledBecauseEnvironmentVariableForComposedAnnotationDoesNotMatch.(Anon_3).getEnvironmentVariable,3,,,,,,,1.0,4.0
Protected Method,org.junit.jupiter.api.condition.EnabledIfEnvironmentVariableConditionTests.enabledBecauseBothEnvironmentVariablesMatchExactly.(Anon_2).getEnvironmentVariable,2,,,,,,,1.0,4.0
Protected Method,org.junit.jupiter.api.condition.EnabledIfEnvironmentVariableConditionTests.getExecutionCondition,1,,,,,,,1.0,4.0
Protected Method,org.junit.jupiter.api.condition.EnabledIfEnvironmentVariableConditionTests.getTestClass,1,,,,,,,1.0,4.0
Private Method,org.junit.jupiter.api.condition.EnabledIfIntegrationTests.methodThatReturnsFalse,1,,,,,,,1.0,4.0
Private Method,org.junit.jupiter.api.condition.EnabledIfIntegrationTests.methodThatReturnsTrue,1,,,,,,,1.0,4.0
Protected Method,org.junit.jupiter.api.condition.EnabledIfSystemPropertyCondition.evaluate,5,,,,,,,3.0,18.0
Protected Method,org.junit.jupiter.api.condition.EnabledIfSystemPropertyCondition.getNoDisabledConditionsEncounteredResult,1,,,,,,,1.0,4.0
Protected Method,org.junit.jupiter.api.condition.EnabledIfSystemPropertyConditionTests.getExecutionCondition,1,,,,,,,1.0,4.0
Protected Method,org.junit.jupiter.api.condition.EnabledIfSystemPropertyConditionTests.getTestClass,1,,,,,,,1.0,4.0
Private Method,org.junit.jupiter.api.condition.EnabledOnOsCondition.isEnabledBasedOnArchitecture,2,,,,,,,1.0,7.0
Private Method,org.junit.jupiter.api.condition.EnabledOnOsCondition.isEnabledBasedOnOs,2,,,,,,,1.0,7.0
Private Method,org.junit.jupiter.api.condition.EnabledOnOsConditionTests.assertEnabledOnCurrentArchitectureIf,2,,,,,,,1.0,10.0
Private Method,org.junit.jupiter.api.condition.EnabledOnOsConditionTests.assertEnabledOnCurrentOsAndArchitectureIf,2,,,,,,,1.0,10.0
Private Method,org.junit.jupiter.api.condition.EnabledOnOsConditionTests.assertEnabledOnCurrentOsIf,2,,,,,,,1.0,10.0
Protected Method,org.junit.jupiter.api.condition.EnabledOnOsConditionTests.getExecutionCondition,1,,,,,,,1.0,4.0
Protected Method,org.junit.jupiter.api.condition.EnabledOnOsConditionTests.getTestClass,1,,,,,,,1.0,4.0
Private Method,org.junit.jupiter.api.condition.MethodBasedCondition.acceptsExtensionContextOrNoArguments,1,,,,,,,1.0,4.0
Private Method,org.junit.jupiter.api.condition.MethodBasedCondition.buildConditionEvaluationResult,4,,,,,,,1.0,9.0
Private Method,org.junit.jupiter.api.condition.MethodBasedCondition.enabledByDefault,1,,,,,,,1.0,3.0
Public Method,org.junit.jupiter.api.condition.MethodBasedCondition.evaluateExecutionCondition,4,,,,,,,1.0,10.0
Private Method,org.junit.jupiter.api.condition.MethodBasedCondition.findMethod,2,,,,,,,1.0,4.0
Private Method,org.junit.jupiter.api.condition.MethodBasedCondition.invokeConditionMethod,4,,,,,,,1.0,11.0
Public Method,org.junit.jupiter.api.condition.OS.isCurrentOs,1,,,,,,,1.0,3.0
Private Method,org.junit.jupiter.api.extension.CloseableResourceIntegrationTests.TestCase.reportEntryOnClose,2,,,,,,,1.0,4.0
Public Method,org.junit.jupiter.api.extension.CloseableResourceIntegrationTests.ThrowingOnCloseExtension.beforeEach,2,,,,,,,1.0,6.0
Public Method,org.junit.jupiter.api.extension.ConditionEvaluationResult.getReason,1,,,,,,,1.0,3.0
Public Method,org.junit.jupiter.api.extension.ConditionEvaluationResult.isDisabled,1,,,,,,,1.0,3.0
Public Method,org.junit.jupiter.api.extension.ConditionEvaluationResult.toString,1,,,,,,,1.0,7.0
Public Method,org.junit.jupiter.api.extension.ExecutableInvokerIntegrationTests.ExecuteConstructorTwiceExtension.beforeAll,1,,,,,,,1.0,5.0
Public Method,org.junit.jupiter.api.extension.ExecutableInvokerIntegrationTests.ExecuteTestsTwiceExtension.afterTestExecution,1,,,,,,,1.0,5.0
Public Method,org.junit.jupiter.api.extension.ExecutableInvokerIntegrationTests.ExtensionContextParameterResolver.resolveParameter,1,,,,,,,1.0,5.0
Public Method,org.junit.jupiter.api.extension.ExecutableInvokerIntegrationTests.ExtensionContextParameterResolver.supportsParameter,1,,,,,,,1.0,5.0
Private Method,org.junit.jupiter.api.extension.ExtensionComposabilityTests.findExtensionApis,2,,,,,,,1.0,4.0
Private Method,org.junit.jupiter.api.extension.ExtensionComposabilityTests.isExtensionApi,1,,,,,,,1.0,3.0
Private Method,org.junit.jupiter.api.extension.ExtensionComposabilityTests.methodSignature,1,,,,,,,1.0,4.0
Public Method,org.junit.jupiter.api.extension.ExtensionContext.Namespace.append,1,,,,,,,1.0,9.0
Public Method,org.junit.jupiter.api.extension.ExtensionContext.Namespace.equals,3,,,,,,,3.0,11.0
Public Method,org.junit.jupiter.api.extension.ExtensionContext.Namespace.hashCode,1,,,,,,,1.0,4.0
Public Method,org.junit.jupiter.api.extension.ExtensionContextParameterResolver.resolveParameter,1,,,,,,,1.0,5.0
Public Method,org.junit.jupiter.api.extension.ExtensionContextParameterResolver.supportsParameter,1,,,,,,,1.0,5.0
Public Method,org.junit.jupiter.api.extension.KitchenSinkExtension.afterAll,1,,,,,,,1.0,3.0
Public Method,org.junit.jupiter.api.extension.KitchenSinkExtension.afterEach,1,,,,,,,1.0,3.0
Public Method,org.junit.jupiter.api.extension.KitchenSinkExtension.afterTestExecution,1,,,,,,,1.0,3.0
Public Method,org.junit.jupiter.api.extension.KitchenSinkExtension.beforeAll,1,,,,,,,1.0,3.0
Public Method,org.junit.jupiter.api.extension.KitchenSinkExtension.beforeEach,1,,,,,,,1.0,3.0
Public Method,org.junit.jupiter.api.extension.KitchenSinkExtension.beforeTestExecution,1,,,,,,,1.0,3.0
Public Method,org.junit.jupiter.api.extension.KitchenSinkExtension.beforeThreadInterrupt,1,,,,,,,1.0,4.0
Public Method,org.junit.jupiter.api.extension.KitchenSinkExtension.createTestInstance,1,,,,,,,1.0,4.0
Public Method,org.junit.jupiter.api.extension.KitchenSinkExtension.evaluateExecutionCondition,1,,,,,,,1.0,4.0
Public Method,org.junit.jupiter.api.extension.KitchenSinkExtension.getTestInstantiationExtensionContextScope,1,,,,,,,1.0,4.0
Public Method,org.junit.jupiter.api.extension.KitchenSinkExtension.handleAfterAllMethodExecutionException,1,,,,,,,1.0,3.0
Public Method,org.junit.jupiter.api.extension.KitchenSinkExtension.handleAfterEachMethodExecutionException,1,,,,,,,1.0,3.0
Public Method,org.junit.jupiter.api.extension.KitchenSinkExtension.handleBeforeAllMethodExecutionException,1,,,,,,,1.0,3.0
Public Method,org.junit.jupiter.api.extension.KitchenSinkExtension.handleBeforeEachMethodExecutionException,1,,,,,,,1.0,3.0
Public Method,org.junit.jupiter.api.extension.KitchenSinkExtension.handleTestExecutionException,1,,,,,,,1.0,3.0
Public Method,org.junit.jupiter.api.extension.KitchenSinkExtension.interceptAfterAllMethod,1,,,,,,,1.0,5.0
Public Method,org.junit.jupiter.api.extension.KitchenSinkExtension.interceptAfterEachMethod,1,,,,,,,1.0,5.0
Public Method,org.junit.jupiter.api.extension.KitchenSinkExtension.interceptBeforeAllMethod,1,,,,,,,1.0,5.0
Public Method,org.junit.jupiter.api.extension.KitchenSinkExtension.interceptBeforeEachMethod,1,,,,,,,1.0,5.0
Public Method,org.junit.jupiter.api.extension.KitchenSinkExtension.interceptDynamicTest,1,,,,,,,1.0,5.0
Public Method,org.junit.jupiter.api.extension.KitchenSinkExtension.interceptDynamicTest,1,,,,,,,1.0,5.0
Public Method,org.junit.jupiter.api.extension.KitchenSinkExtension.interceptTestMethod,1,,,,,,,1.0,5.0
Public Method,org.junit.jupiter.api.extension.KitchenSinkExtension.interceptTestTemplateMethod,1,,,,,,,1.0,5.0
Public Method,org.junit.jupiter.api.extension.KitchenSinkExtension.mayReturnZeroTestTemplateInvocationContexts,1,,,,,,,1.0,4.0
Public Method,org.junit.jupiter.api.extension.KitchenSinkExtension.postProcessTestInstance,1,,,,,,,1.0,3.0
Public Method,org.junit.jupiter.api.extension.KitchenSinkExtension.preConstructTestInstance,1,,,,,,,1.0,3.0
Public Method,org.junit.jupiter.api.extension.KitchenSinkExtension.preDestroyTestInstance,1,,,,,,,1.0,3.0
Public Method,org.junit.jupiter.api.extension.KitchenSinkExtension.provideTestTemplateInvocationContexts,1,,,,,,,1.0,4.0
Public Method,org.junit.jupiter.api.extension.KitchenSinkExtension.resolveParameter,1,,,,,,,1.0,4.0
Public Method,org.junit.jupiter.api.extension.KitchenSinkExtension.supportsParameter,1,,,,,,,1.0,4.0
Public Method,org.junit.jupiter.api.extension.KitchenSinkExtension.supportsTestTemplate,1,,,,,,,1.0,4.0
Public Method,org.junit.jupiter.api.extension.KitchenSinkExtension.testAborted,1,,,,,,,1.0,3.0
Public Method,org.junit.jupiter.api.extension.KitchenSinkExtension.testDisabled,1,,,,,,,1.0,3.0
Public Method,org.junit.jupiter.api.extension.KitchenSinkExtension.testFailed,1,,,,,,,1.0,3.0
