Kind,Name,SumCyclomatic,AvgEssential,MaxInheritanceTree,PercentLackOfCohesion,CountClassDerived,CountClassCoupled,CountDeclMethod,Essential,CountLineCode
Public Class,org.junit.jupiter.engine.discovery.predicates.TestClassPredicatesTests,0,0,1,0,0,4,0,,310
Private Class,org.junit.jupiter.engine.discovery.predicates.TestClassPredicatesTests.TestCases.NestedClassesTestCase.PrivateInnerClass,0,0,1,0,0,2,0,,4
Private Class,org.junit.jupiter.engine.discovery.predicates.TestClassPredicatesTests.TestCases.PrivateClassWithNestedTestClass,0,0,1,0,0,1,0,,12
Private Class,org.junit.jupiter.engine.discovery.predicates.TestClassPredicatesTests.TestCases.PrivateClassWithTestFactory,1,1,1,0,0,4,1,,7
Private Class,org.junit.jupiter.engine.discovery.predicates.TestClassPredicatesTests.TestCases.PrivateClassWithTestMethod,1,1,1,0,0,2,1,,6
Private Class,org.junit.jupiter.engine.discovery.predicates.TestClassPredicatesTests.TestCases.PrivateClassWithTestTemplate,1,1,1,0,0,2,1,,6
Public Class,org.junit.jupiter.engine.execution.ConditionEvaluator,8,1,1,0,0,13,4,,34
Public Class,org.junit.jupiter.engine.execution.DefaultExecutableInvoker,3,1,1,0,0,9,3,,21
Public Class,org.junit.jupiter.engine.execution.DefaultTestInstances,9,1,1,29,0,9,7,,39
Public Class,org.junit.jupiter.engine.execution.InterceptingExecutableInvoker,7,1,1,0,0,16,4,,49
Public Class,org.junit.jupiter.engine.execution.InvocationInterceptorChain,7,1,1,0,0,11,4,,104
Public Class,org.junit.jupiter.engine.execution.JupiterEngineExecutionContext,17,1,1,71,0,13,15,,120
Public Class,org.junit.jupiter.engine.execution.NamespaceAwareStore,17,1,1,89,0,10,9,,58
Public Class,org.junit.jupiter.engine.execution.ParameterResolutionUtils,21,1,1,0,0,24,6,,95
Public Class,org.junit.jupiter.engine.execution.injection.sample.CustomAnnotationParameterResolver,2,1,1,0,0,5,2,,10
Public Class,org.junit.jupiter.engine.execution.injection.sample.CustomType,1,1,1,0,0,3,1,,7
Public Class,org.junit.jupiter.engine.execution.injection.sample.CustomTypeParameterResolver,2,1,1,0,0,4,2,,10
Public Class,org.junit.jupiter.engine.execution.injection.sample.DoubleParameterResolver,2,1,1,0,0,4,2,,10
Public Class,org.junit.jupiter.engine.execution.injection.sample.LongParameterResolver,5,3,1,0,0,7,2,,23
Public Class,org.junit.jupiter.engine.execution.injection.sample.MapOfListsTypeBasedParameterResolver,1,1,2,0,0,5,1,,7
Public Class,org.junit.jupiter.engine.execution.injection.sample.MapOfStringsParameterResolver,4,2,1,0,0,8,2,,20
Public Class,org.junit.jupiter.engine.execution.injection.sample.NullIntegerParameterResolver,2,1,1,0,0,3,2,,11
Public Class,org.junit.jupiter.engine.execution.injection.sample.NumberParameterResolver,2,1,1,0,0,3,2,,10
Public Class,org.junit.jupiter.engine.execution.injection.sample.PrimitiveArrayParameterResolver,2,1,1,0,0,3,2,,10
Public Class,org.junit.jupiter.engine.execution.injection.sample.PrimitiveIntegerParameterResolver,2,1,1,0,0,3,2,,10
Public Class,org.junit.jupiter.engine.extension.ConfigLoaderExtension,1,1,1,0,0,2,1,,5
Public Class,org.junit.jupiter.engine.extension.DefaultTestReporterTests,14,1,1,38,0,17,8,,80
Public Class,org.junit.jupiter.engine.extension.MutableExtensionRegistry,38,1,1,81,0,39,21,,203
Public Class,org.junit.jupiter.engine.extension.ServiceLoaderExtension,1,1,1,0,0,2,1,,5
Public Class,org.junit.jupiter.engine.extension.TestInstancePreDestroyCallbackUtilityMethodTests,2,1,2,0,0,13,1,,68
Public Class,org.junit.jupiter.engine.extension.sub.AlwaysDisabledCondition,1,1,1,0,1,3,1,,6
Public Class,org.junit.jupiter.engine.extension.sub.AnotherAlwaysDisabledCondition,0,0,2,0,0,0,0,,2
Public Class,org.junit.jupiter.engine.extension.sub.SystemPropertyCondition,3,3,1,0,0,9,1,,24
Public Class,org.junit.jupiter.engine.subpackage.SuperClassWithPackagePrivateLifecycleMethodInDifferentPackageTestCase,2,1,1,0,3,2,2,,11
Public Class,org.junit.jupiter.engine.support.JupiterThrowableCollectorFactory,1,1,1,0,0,3,1,,6
Public Class,org.junit.jupiter.extensions.Heavyweight,3,1,1,0,0,8,3,,45
Public Class,org.junit.jupiter.jmh.AssertionBenchmarks,11,1,1,0,0,3,7,,30
Public Class,org.junit.jupiter.migrationsupport.conditions.IgnoreCondition,5,1,1,0,0,8,3,,19
Public Class,org.junit.jupiter.migrationsupport.rules.AbstractTestRuleAdapterTests,4,1,1,0,0,10,3,,40
Public Class,org.junit.jupiter.migrationsupport.rules.EnableRuleMigrationSupportWithBothRuleTypesTests,5,1,1,72,0,8,3,,51
Public Class,org.junit.jupiter.migrationsupport.rules.ExpectedExceptionSupport,6,1,1,50,0,11,4,,22
Public Class,org.junit.jupiter.migrationsupport.rules.ExternalResourceSupport,3,1,1,33,0,7,3,,14
Public Class,org.junit.jupiter.migrationsupport.rules.ExternalResourceSupportForMixedMethodAndFieldRulesTests,8,1,1,72,1,11,5,,53
Public Class,org.junit.jupiter.migrationsupport.rules.ExternalResourceSupportForMultipleFieldRulesTests,4,1,1,67,0,7,2,,41
Public Class,org.junit.jupiter.migrationsupport.rules.ExternalResourceSupportForMultipleMethodRulesTests,6,1,1,75,0,7,4,,45
Public Class,org.junit.jupiter.migrationsupport.rules.ExternalResourceSupportForTemporaryFolderFieldTests,2,1,1,25,0,7,2,,14
Public Class,org.junit.jupiter.migrationsupport.rules.ExternalResourceSupportWithInheritanceTests,0,0,2,0,0,0,0,,3
Public Class,org.junit.jupiter.migrationsupport.rules.ExternalResourceWithoutAdapterTests,3,1,1,50,0,5,2,,16
Public Class,org.junit.jupiter.migrationsupport.rules.VerifierSupport,2,1,1,50,0,7,2,,10
Public Class,org.junit.jupiter.migrationsupport.rules.VerifierSupportForMixedMethodAndFieldRulesTests,5,1,1,75,0,6,3,,32
Public Class,org.junit.jupiter.migrationsupport.rules.WrongExtendWithForVerifierFieldTests,3,1,1,75,0,6,2,,19
Public Class,org.junit.jupiter.migrationsupport.rules.WrongExtendWithForVerifierMethodTests,4,1,1,67,0,6,3,,22
Public Class,org.junit.jupiter.migrationsupport.rules.adapter.ExpectedExceptionAdapter,4,1,2,0,0,6,3,,16
Public Class,org.junit.jupiter.migrationsupport.rules.adapter.ExternalResourceAdapter,3,1,2,0,0,4,3,,14
Public Class,org.junit.jupiter.migrationsupport.rules.adapter.VerifierAdapter,2,1,2,0,0,4,2,,10
Public Class,org.junit.jupiter.params.ParameterizedClassIntegrationTests,13,1,2,0,0,41,7,,1682
