Tags,Median,Bottom Quantile,Top Quantile,Min,Max
r5.12.2,1.0,1.0,1.0,0.0,5.0
r5.13.1,1.0,1.0,1.0,0.0,4.0
r5.14.0,1.0,1.0,1.0,0.0,4.0
