Tags,Median,Bottom Quantile,Top Quantile,Min,Max
r5.12.2,3.0,1.0,8.0,0.0,292.0
r5.13.1,3.0,1.0,9.0,0.0,292.0
r5.14.0,3.0,1.0,9.0,0.0,292.0
