Tags,Median,Bottom Quantile,Top Quantile,Min,Max
r5.12.2,5.0,2.0,10.0,0.0,59.0
r5.13.1,5.0,2.0,11.0,0.0,63.0
r5.14.0,5.0,3.0,11.0,0.0,63.0
