Tags,Median,Bottom Quantile,Top Quantile,Min,Max
r5.12.2,0.0,0.0,0.0,0.0,14.0
r5.13.1,0.0,0.0,0.0,0.0,25.0
r5.14.0,0.0,0.0,0.0,0.0,25.0
