Tags,Median,Bottom Quantile,Top Quantile,Min,Max
r5.12.2,2.0,1.0,6.0,0.0,292.0
r5.13.1,2.0,1.0,7.0,0.0,292.0
r5.14.0,2.0,1.0,7.0,0.0,292.0
