Tags,Median,Bottom Quantile,Top Quantile,Min,Max
r5.12.2,0.0,0.0,45.0,0.0,100.0
r5.13.1,0.0,0.0,44.5,0.0,100.0
r5.14.0,0.0,0.0,48.0,0.0,100.0
